sedalea,sedaleaname,year,fips,stateabb,multi_comp,subcat,subgroup,gap,gradecenter,tot_asmts,cellcount,mn_asmts,flag_estasmt,cs_mn_avg_ol,cs_mn_avg_ol_se,cs_mn_avg_ol_se_adj,cs_mn_avg_eb,cs_mn_avg_eb_se,cs_mn_avg_eb_se_adj
5503150,Darlington Community School District,2018,55,WI,0,all,all,0,5.5,746,12,62.16666666666666,0,.360167743685987,.0372634625703729,.038842199113671,.295657154984063,.027343547131919,.0294194101431321
5503150,Darlington Community School District,2018,55,WI,0,ecd,ecd,0,5.5,276,12,23,0,-.0066553386865583,.0605735587006642,.0615573456454654,-.0467120192127461,.0317190499352879,.0335250690112883
5503150,Darlington Community School District,2018,55,WI,0,gender,fem,0,5.5,350,12,29.16666666666667,0,.4530185122882855,.0529376320956164,.0540605556865939,.3952002091390157,.0276357418909672,.0296911830899092
5503150,Darlington Community School District,2018,55,WI,0,race,hsp,0,5.5,152,12,12.66666666666667,0,-.0207566316994949,.0741060040328823,.0749122861950832,-.1112073811354797,.0274709172862143,.0295378303191074
5503150,Darlington Community School District,2018,55,WI,0,gender,mal,0,5.5,396,12,33,0,.2688084854981774,.0512937621597526,.0524518905832168,.2083980053074859,.0275786972412869,.0296380948264378
5503150,Darlington Community School District,2018,55,WI,0,gender,mfg,1,5.5,746,12,62.16666666666666,0,-.1842100267901081,.073711891363552,.073711891363552,-.1868022038315298,.0053832733424727,.0053832733424727
5503150,Darlington Community School District,2018,55,WI,0,ecd,nec,0,5.5,470,12,39.16666666666666,0,.5748023976878085,.0447400259528446,.0460632251531924,.4927014634982418,.0318268296327653,.033627060648939
5503150,Darlington Community School District,2018,55,WI,0,ecd,neg,1,5.5,746,12,62.16666666666666,0,.5814577363743668,.0753048865341687,.0753048865341687,.5394134827109879,.0228846252702422,.0228846252702422
5503150,Darlington Community School District,2018,55,WI,0,race,whg,1,5.5,728,12,60.66666666666666,0,.5039952927233539,.0852041937491625,.0852041937491625,.4960026616697491,.0030461895005936,.0030461895005936
5503150,Darlington Community School District,2018,55,WI,0,race,wht,0,5.5,576,12,48,0,.4832386610238589,.0420482437055729,.0434534876388045,.3847952805342694,.0273855274449561,.0294584323556566
5503180,De Forest Area School District,2018,55,WI,0,all,all,0,5.5,3099,12,258.25,0,.2201731038385703,.0189254284133371,.0218705882381072,.2172961716814157,.0170071390978325,.0201760973358917
5503180,De Forest Area School District,2018,55,WI,0,race,asn,0,5.5,118,12,9.833333333333334,0,-.1676815104056094,.0893292135987256,.0899992177267071,-.2299666362392667,.0217951483540934,.0243487292315491
5503180,De Forest Area School District,2018,55,WI,0,race,blk,0,5.5,86,10,8.6,0,-.5760823414926989,.1160681314643337,.1165845698661463,-.4919402317570248,.0183533148364856,.0213231397524266
5503180,De Forest Area School District,2018,55,WI,0,ecd,ecd,0,5.5,625,12,52.08333333333334,0,-.3060000407444106,.0424958821412143,.0438867951462904,-.3341691206248264,.0230482191580156,.0254765093717775
5503180,De Forest Area School District,2018,55,WI,0,gender,fem,0,5.5,1541,12,128.4166666666667,0,.3192194251726581,.0259128100954056,.0281358226517911,.3084962114056682,.0174511893443532,.0205517914777963
5503180,De Forest Area School District,2018,55,WI,0,race,hsp,0,5.5,140,10,14,0,.2518607275562767,.0967260271211385,.0973451339918524,-.0313472579716312,.0172115620105935,.0203487097934699
5503180,De Forest Area School District,2018,55,WI,0,gender,mal,0,5.5,1558,12,129.8333333333333,0,.1244391252148291,.0270777654354211,.0292122606148201,.121801050595849,.0173703256108285,.0204831720014395
5503180,De Forest Area School District,2018,55,WI,0,gender,mfg,1,5.5,3099,12,258.25,0,-.1947802999578291,.0374790489209137,.0374790489209137,-.1866951608098192,.0052713054144701,.0052713054144701
5503180,De Forest Area School District,2018,55,WI,0,ecd,nec,0,5.5,2474,12,206.1666666666667,0,.3511287095367449,.0203495791781183,.0231139819585244,.3464723075496451,.0190257731726928,.0219046152267761
5503180,De Forest Area School District,2018,55,WI,0,ecd,neg,1,5.5,3099,12,258.25,0,.6571287502811555,.0471169329613726,.0471169329613726,.6806414281744715,.0177402054832695,.0177402054832695
5503180,De Forest Area School District,2018,55,WI,0,race,wag,1,5.5,2677,12,223.0833333333333,0,.4507960770753502,.0916351759696936,.0916351759696936,.5280739648477039,.0136955413867425,.0136955413867425
5503180,De Forest Area School District,2018,55,WI,0,race,wbg,1,5.5,2645,10,264.5,0,.8591969081624398,.1178520607136414,.1178520607136414,.790047560365462,.0070273414308826,.0070273414308826
5503180,De Forest Area School District,2018,55,WI,0,race,whg,1,5.5,2699,10,269.9,0,.0312538391134641,.098859604467493,.098859604467493,.3294545865800684,.0029626388479767,.0029626388479767
