sedalea,year,sedaleaname,gslo,gshi,fips,stateabb,urban,suburb,town,rural,locale_city_large,locale_city_midsize,locale_city_small,locale_suburb_large,locale_suburb_midsize,locale_suburb_small,locale_town_fringe,locale_town_distant,locale_town_remote,locale_rural_fringe,locale_rural_distant,locale_rural_remote,avgrdall,pernam,perasn,perhsp,perblk,perwht,perfl,perrl,perfrl,perecd,perell,perspeced,totenrl,diffexpecd_blkwht,diffexpecd_hspwht,diffexpecd_namwht,diffexpecd_asnwht,hswhtblk,hswhthsp,hsflnfl,hsecdnec,rswhtblk,rswhthsp,rsflnfl,rsecdnec,diffexpmin2_blkwht,diffexpmin2_hspwht,diffexpmin2_namwht,diffexpmin2_asnwht,sesall,sesasn,sesblk,seshsp,sesnam,seswht,lninc50all,lninc50asn,lninc50blk,lninc50hsp,lninc50nam,lninc50wht,baplusall,baplusasn,baplusblk,baplushsp,baplusnam,bapluswht,povertyall,povertyasn,povertyblk,povertyhsp,povertynam,povertywht,unempall,unempasn,unempblk,unemphsp,unempnam,unempwht,snapall,snapasn,snapblk,snaphsp,snapnam,snapwht,single_momall,single_momasn,single_momblk,single_momhsp,single_momnam,single_momwht,seswhtblk,seswhthsp,seswhtasn,seswhtnam,urbanicity
5099951,2018,Mountain Views Supervisory Union,Pre-Kindergarten,12,50,VT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.92125982,.078740157,68.833336,0,.0024213076,.02905569,.012106538,.92493945,.20461336,.080368854,.2849822,,.01476378,.089566931,413,,,,,.1686686,.16925512,.024185665,,.032836132,.042722046,.025224308,,.027609341,.044443388,,-.040257353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rural
5099952,2018,Windsor Southeast Supervisory Union,Pre-Kindergarten,12,50,VT,0,0,.67104185,.32895815,0,0,0,0,0,0,0,0,.67104185,.055783428,.27317473,0,98,0,0,.022108844,.0034013605,.94557822,.38547903,.083869077,.4693481,,0,.17555374,588,,,,,.20819063,.129306,.010356994,,.023229549,.019296357,.013844715,,.048350662,.02302541,,,.69743276,,,,,.76983631,10.863718,,,,,10.87168,.31688821,,,,,.31569093,.074489921,,,,,.064857975,.032761741,,,,,.029534617,.12794267,,,,,.12040746,.132908,,,,,.12672794,,,,,Town
5099954,2018,Hartford Supervisory District,Pre-Kindergarten,12,50,VT,0,0,.66932803,.330672,0,0,0,0,0,0,0,0,.66932803,.330672,0,0,100.33334,0,.0033222591,.028239202,.0066445181,.90863788,.31965122,.04328436,.36293557,,.007318696,.22421823,602,,,,,.15510477,.018354159,.013937774,,.017079197,.0031007736,.017831055,,.007375604,.0013285242,,.010597054,.7298786,,,,,.69250691,10.942806,,,,,10.942054,.44316113,,,,,.44614437,.068584301,,,,,.062448245,.058595411,,,,,.055819426,.10747268,,,,,.10930715,.16327707,,,,,.15666734,,,,,Town
5099955,2018,School Administrative Unit #70,Pre-Kindergarten,12,50,VT,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,47,0,0,.0053191488,0,.99468082,.060606062,.037624642,.098230705,,.012121212,.14545454,188,,,,,,4.9239681e-08,2.9454408e-09,,,0,0,,,0,,,1.9539503,,,,,1.9257843,11.547838,,,,,11.519879,.77680624,,,,,.78125286,.054958232,,,,,.055769324,.045854192,,,,,.04416075,.029860046,,,,,.031774789,.13481417,,,,,.11638885,,,,,Rural
5099956,2018,Springfield Supervisory District,Pre-Kindergarten,12,50,VT,0,0,.50422102,.49577898,0,0,0,0,0,0,0,0,.50422102,.49577898,0,0,85.166664,0,.0058708414,.017612524,.0097847357,.92759293,.44227007,.045009784,.48727983,,.0069071376,.20184191,511,,,,,1.0804298e-08,3.3017680e-09,-5.9555916e-09,,0,0,0,,0,0,,0,-.23878056,,,,,-.11949106,10.696073,,,,,10.714713,.15988848,,,,,.15608603,.16521907,,,,,.14863333,.055569135,,,,,.044758808,.15945971,,,,,.14906482,.18368456,,,,,.15895179,,,,,Town
5099993,2018,VT SEDA Schools in Non-Geographic Schools,7,12,50,VT,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,.35714287,.21428572,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Suburb
5100060,2018,Accomack County Public Schools,Pre-Kindergarten,12,51,VA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.21967655,.78032345,394.66666,.00042229731,.0092905406,.2331081,.36275339,.38597974,.64026409,.058614913,.698879,.73530674,.14150943,.13438582,2368,.077144168,.091553949,.08147639,.082022391,.086051933,.12856586,.03175782,.059234548,.10451344,.13049202,.042960864,.074313052,.1207714,.13830647,.038616121,.12900037,-.2526516,,-1.8817109,-.86857635,,.54329258,10.584766,,10.278293,10.613174,,10.747674,.1857858,,.057924166,.12240725,,.23931082,.19420137,,.2952494,.44124296,,.099416286,.044621937,,.053699516,.030631308,,.043585695,.14164759,,.27093992,.16686633,,.088599831,.20218183,,.44299394,.11369094,,.11695803,2.3928549,1.3342791,,,Rural
5100090,2018,Albemarle County Public Schools,Pre-Kindergarten,12,51,VA,.040974692,.31699181,.025600117,.61643338,0,0,.040974692,0,0,.31699181,.025600117,0,0,.58256578,.033867575,0,1036.8334,.0017682045,.051117186,.12747146,.10384183,.65745056,.26797524,.049578536,.31755379,.32248616,.1320854,.22236682,6221,.18029529,.15512,.062777817,.032741819,.19251835,.15302774,.10544235,.13082881,.16321941,.1424665,.11925865,.15808441,.19191654,.17188522,.089596562,.054461669,1.2604588,1.1688522,-.55270886,.43112093,,1.524419,11.135142,11.13303,10.739915,10.863598,,11.203356,.53457761,.70635957,.17992848,.30678597,,.57618052,.098162912,.15110111,.17273305,.17771126,,.078873865,.029358948,.033286937,.0250965,.036524497,,.028488787,.045783244,.051919036,.13965037,.083825335,,.033537727,.15136196,.12420937,.43640718,.16090259,,.11763928,2.0367265,1.0159051,.138107,,Rural
5100120,2018,Alexandria City Public Schools,Pre-Kindergarten,12,51,VA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1150.5,.0031870201,.044038825,.36607271,.27509779,.28161669,.50741816,.083075613,.59049374,.6141085,.32877147,.11203055,6903,.15319572,.14509122,.20242226,.19887757,.17313793,.13049129,.082001515,.11548579,.22277303,.16529061,.11007933,.14748675,.13104263,.11696152,.16816214,.15133353,1.4126236,1.6354394,-.047349799,-.096593939,,2.2566524,11.38469,11.457646,10.88588,10.913935,,11.618758,.62042761,.65228677,.35143098,.29009441,,.79718387,.10609167,.062305942,.18496367,.20413858,,.046571653,.033987612,.048075985,.043227624,.040658813,,.027644312,.044196825,.032156836,.090738468,.11054121,,.018746678,.17899321,.12368412,.3627089,.30355722,,.086392209,2.2853951,2.2851229,.50571746,,City
5100152,2018,Alleghany Highlands Public Schools,Pre-Kindergarten,12,51,VA,0,0,0,1,0,0,0,0,0,0,0,0,0,.57351601,.42648402,0,157.33333,.0021186441,.0074152541,.011652542,.058262713,.87288135,.47738194,.064259142,.54164106,.45048967,.0042692446,.2220007,944,-.00083677965,.00079913141,0,.012830786,.058061253,.042662043,.031937525,.0026918587,.018639982,.0054652547,.042598687,.003710849,.020758901,.013851508,0,.0053198207,-.18281829,,-2.5128314,,,.022274574,10.683786,,9.9513454,,,10.717355,.1548302,,.081235737,,,.16023193,.19262321,,.33134046,,,.16387291,.055190913,,.076008752,,,.046272922,.13398409,,.31092331,,,.12059242,.1668708,,.4584479,,,.15000609,2.48651,,,,Rural
